Sample,Site,Island,Altitude,Layer,Vegetation,Temperature,Moisture,pH,N,C,Salinity,Latitude,Longitude,Date,logTemp,logSal,logN,logMoist,logC,Observed,Shannon,Evenness,PD
B9,Cotton grass,Axel Heiberg,91,Upper,2,14.1,31.532,6.24,0.07,2.368,1.29,79.387,-91.012,13.07.19,2.83907846350861,0.307484699747961,-2.64507540194082,3.46951002184424,0.880663554231004,3268,7.4006790643733,0.914574879370052,354.1587898325
C1,Ridge orange gravel,Axel Heiberg,197,Upper,0,16.3,1.864,6.22,0,0.72,0.57,79.417,-90.742,13.07.19,2.96010509591084,-0.44628710262842,-6.90775527898214,0.897311765276352,-0.26853325361302,1903,6.62104884825828,0.876822275043112,245.9390066305
C10,ATV trail wet,Axel Heiberg,188,Lower,1,10.4,26.2,5.03,0.455,5.827,0.72,79.414,-90.747,15.07.19,2.59525470695687,-0.23572233352107,-0.785262469467751,3.28799135549888,1.770110137823,8084,7.648422271096,0.850047401791191,810.938132165
C2,Ridge orange gravel,Axel Heiberg,197,Lower,0,14.45,7.513,5.35,0,0.474,0.43,79.417,-90.742,13.07.19,2.85933964864844,-0.693147180559945,-6.90775527898214,2.0921109447805,-0.656815251312555,546,5.61916753395161,0.891560723498675,81.5138755945
C3,Ridge orange gravel,Axel Heiberg,197,Lower,0,14.45,6.974,6.34,0,0.181,0.43,79.417,-90.742,13.07.19,2.85933964864844,-0.693147180559945,-6.90775527898214,2.02326793687389,-1.4894351200394,757,5.92790870155,0.894189754721355,63.6136771625
C4,Ridge orange gravel,Axel Heiberg,197,Lower,0,14.45,9.235,5.08,0,0.358,0.43,79.417,-90.742,13.07.19,2.85933964864844,-0.693147180559945,-6.90775527898214,2.28482837140479,-0.910060182123519,359,5.32504108847659,0.905107817803073,47.0305473175
C5,Slope GH glacier river side,Axel Heiberg,103,Upper,1,18.5,1.84,5.87,0.292,3.574,2.44,79.41,-90.711,14.07.19,3.06805293513362,0.920282753143692,-1.22758266996507,0.887479650020036,1.28605957532405,5066,7.56430680039996,0.886756707660179,468.0776979075
C6,Slope GH glacier river side,Axel Heiberg,103,Lower,1,12.7,5.43,6.26,0.003,1.263,0.72,79.41,-90.711,14.07.19,2.75366071235426,-0.23572233352107,-5.52146091786225,1.79492113256563,0.268116916956941,1760,6.83407044341575,0.914493143701859,158.3630986355
C7,Slope GH glacier river side moss,Axel Heiberg,103,Upper,2,16.3,3.193,6.22,0.267,5.089,1.29,79.41,-90.711,14.07.19,2.96010509591084,0.307484699747961,-1.31676829847128,1.33025297023627,1.63578768775688,5336,7.67512932602862,0.894304616193539,516.266997541
C8,Slope GH glacier river side moss,Axel Heiberg,103,Lower,2,13.55,6.965,5.53,0.057,1.719,0.57,79.41,-90.711,14.07.19,2.80638610182307,-0.44628710262842,-2.84731226843572,2.02207722429026,0.56730047069397,4124,7.24484985321444,0.870296262188305,306.3532945595
